iteration,f_total,f_smooth,grad_norm,time,sparsity,w_change,gap
0,119667.66859035658,119667.62173358252,101662.1373095723,2.4080276489257812e-05,0.0,0.37800822808383666,119648.66409341278
10,22215.44218108793,22214.882706269247,13979.6307597384,0.0002930164337158203,0.0,0.08342267592168764,22196.43768414412
20,12092.584883230005,12091.96290277932,8013.99871129591,0.0005581378936767578,0.0,0.036225098898508064,12073.580386286196
30,6033.6781903988285,6033.105831937253,4494.724158185879,0.0008230209350585938,0.0,0.023124659617223334,6014.673693455019
40,3389.5894534364934,3388.992191281809,2549.9360525245056,0.0010991096496582031,0.0,0.014310863354801922,3370.5849564926843
50,2074.5686756559344,2073.953468190768,1596.8184656380981,0.0013649463653564453,0.0,0.00954157984595691,2055.5641787121253
60,1359.1609461782318,1358.5384455963126,1177.960263929709,0.0016300678253173828,0.0,0.006748912039094748,1340.1564492344226
70,915.56688384759,914.9400684631511,886.0309737571736,0.001895904541015625,0.0,0.005096829264132285,896.5623869037809
80,637.3612368077199,636.7323780600098,709.3675903160572,0.002161264419555664,0.0,0.003931177938792801,618.3567398639108
90,455.02073402248635,454.3910564911392,577.6729894232064,0.0024261474609375,0.0,0.003111301482486534,436.01623707867714
100,332.13427984210165,331.50474003504166,479.4519893624376,0.0026900768280029297,0.0,0.002509259279230881,313.12978289829243
110,247.2360025848468,246.6071650472693,402.19254179459455,0.0029561519622802734,0.0,0.0020553179995701086,228.23150564103761
120,187.43144731783045,186.80336567317906,340.36217330901525,0.0032210350036621094,0.0,0.0017046014588608259,168.42695037402126
130,144.6114534095347,143.98418694658073,290.0219778501523,0.003484964370727539,0.0,0.001428225052865842,125.60695646572552
140,113.53022150164263,112.90400432328809,248.63928045636544,0.0037500858306884766,0.0,0.001206986064291166,94.52572455783343
150,90.69790783697101,90.0728557088762,214.25515654827004,0.004014015197753906,0.0,0.0010275542502825616,71.69341089316183
160,73.75083679517633,73.12696973938688,185.45953900872124,0.004279136657714844,0.0,0.0008803178785724062,54.74633985136713
170,61.05757401506877,60.434886694776374,161.16668064668323,0.00454401969909668,0.0,0.0007582806781944338,42.05307707125957
180,51.47457987682312,50.85306057097144,140.54216677523974,0.004808902740478516,0.0,0.0006562409780446751,32.47008293301393
190,44.18898152420558,43.568594554440196,122.9322365271454,0.005074262619018555,0.0,0.0005702647714684528,25.184484580396386
200,38.61577910854863,37.99644757588954,107.819731122125,0.005339145660400391,0.0,0.000497329910510739,19.611282164739436
210,34.32923163147484,33.710862347496956,94.79118270566597,0.0056040287017822266,0.0,0.0004350867560119589,15.324734687665647
220,31.0164159944223,30.39890169491315,83.51316382807329,0.005869150161743164,0.0,0.0003816820596407963,12.011919050613105
230,28.445235636945718,27.828472363676916,73.7145578366491,0.006134033203125,0.0,0.0003356444984212733,9.440738693136524
240,26.442101968143586,25.826037750185243,65.17323444394927,0.006398916244506836,0.0,0.000295788410883642,7.437605024334392
250,24.876339701046433,24.260896995524142,57.70595255514204,0.0066640377044677734,0.0,0.00026115348794293326,5.871842757237239
260,23.64885900722351,23.03395248273617,51.16051903647859,0.00693202018737793,0.0,0.00023095382335059058,4.644362063414317
270,22.684094116084662,22.069620440785137,45.4097215717142,0.007196903228759766,0.0,0.00020454446052316593,3.679597172275468
280,21.924067995661648,21.309939527012403,40.346568576238205,0.007462263107299805,0.0,0.0001813870229971974,2.9195710518524542
290,21.324113663629618,20.710249563772688,35.880592916280975,0.007726192474365234,0.0,0.0001610361388000445,2.3196167198204236
300,20.84961276492356,20.23598757309594,31.934848786597012,0.00799107551574707,0.0,0.0001431130852780936,1.8451158211143657
310,20.473741788279273,19.860310279916593,28.44364868938324,0.008259057998657227,0.0,0.0001272982506763306,1.4692448444700794
320,20.17556167792457,19.56229054489843,25.350608629144062,0.008522987365722656,0.0,0.00011332284225478577,1.171064734115376
330,19.93868965001341,19.325565577226993,22.607126478864142,0.008790016174316406,0.0,0.00010095402555231243,0.9341927062042146
340,19.75030475517208,19.137308464933035,20.171187718009524,0.009050130844116211,0.0,8.99922257466992e-05,0.7458078113628872
350,19.600332579070624,18.987437871285344,18.006330816846233,0.009311914443969727,0.0,8.026711138837473e-05,0.5958356352614302
360,19.480832351477677,18.868012696658106,16.080801615097876,0.009571075439453125,0.0,7.162989138875369e-05,0.4763354076684827
370,19.38552199060779,18.772764630272377,14.366861271106856,0.009835958480834961,0.0,6.395203881959678e-05,0.3810250467985945
380,19.309449248028308,18.69673915607322,12.84024761732498,0.01009988784790039,0.0,5.7121771638291937e-05,0.304952304219114
390,19.24868735741795,18.636012811321454,11.47966767653964,0.010364055633544922,0.0,5.104151516113414e-05,0.24419041360875582
400,19.20011565720653,18.5874740314149,10.266386291938463,0.01062917709350586,0.0,4.562478687092383e-05,0.19561871339733727
410,19.161265067767822,18.54865312888404,9.183922114609734,0.01089620590209961,0.0,4.079601073907937e-05,0.15676812395862783
420,19.13017836667798,18.517587469372977,8.21774909372986,0.011160135269165039,0.0,3.648857478312189e-05,0.12568142286878725
430,19.105295730018074,18.492715079771756,7.3550331300220115,0.011427164077758789,0.0,3.264453557895401e-05,0.10079878620888039
440,19.085367474827198,18.472791267445274,6.584400622725933,0.011691093444824219,0.0,2.9213734493611846e-05,0.08087053101800379
